SOSR_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOSR101,996,24356,92149,61711,54181,41492,17731,5339,2217,300170,331,10718,69742,50128,41052,28718,10930,2837,1101,215544,184,4312,56788,48877,38945,26185,8501,2322,984,187109,113,1579,35770,39630,30774,19677,5731,1531,652,135451,109,1264,50186,74481,53923,31322,8925,2350,946,223503,241,705,17646,55558,52277,27438,9315,2915,1327,167417,19679,24949,60196,45484,38394,31627,26616,20620,17531,285092,256521,312400,721227,634879,558311,457780,317307,174334,82975,3515745
SOSR102,186,4297,15613,13341,13847,11517,4694,1505,594,65609,54,1712,11302,10071,9836,7509,2239,528,225,43481,25,713,8691,9438,9450,6537,1560,375,153,36944,6,259,4933,7552,7398,4866,907,234,102,26263,13,220,5768,11302,10779,6444,1263,342,114,36244,66,161,1521,4740,5389,3513,1029,427,190,17043,4510,4020,7559,7102,8095,8337,8868,8223,6922,63643,60181,64140,120129,122090,129517,123390,101006,60940,28538,809935
SOSR111,33,619,2209,1797,1713,1354,471,107,51,8360,6,229,1443,1364,1265,885,244,44,11,5502,6,102,1081,1160,1103,825,133,22,7,4445,0,35,643,863,861,560,86,24,8,3083,0,36,768,1316,1214,693,107,29,12,4178,10,18,193,476,500,352,116,34,12,1716,638,650,1204,1080,1103,1092,1039,962,569,8330,7913,8223,17097,16041,15905,14772,11310,6229,2622,100115
SOSR112,95,1815,6633,5873,6038,5205,2320,867,371,29215,27,762,4338,3978,4050,3333,1163,337,111,18104,3,301,3014,3506,3629,2871,757,222,88,14396,3,118,1770,2836,2920,2220,463,138,68,10542,6,92,1856,3561,3797,2661,595,190,71,12822,33,74,517,1314,1584,1304,589,245,119,5767,3033,3091,5402,4573,4763,4795,4893,4358,3176,38088,28829,28762,55597,52744,56316,57040,47872,29158,13209,369524
SOSR113,67,935,3229,2919,3267,3017,1489,573,235,15726,12,395,2145,1884,2171,1839,622,193,72,9336,6,167,1464,1690,1830,1433,437,121,59,7203,3,104,942,1272,1502,1148,270,77,37,5354,9,101,1259,1936,2075,1539,302,108,47,7381,25,41,383,783,827,698,289,151,73,3269,1778,1396,2911,2560,2977,3287,3913,3619,3050,25493,15950,14638,30304,30165,34512,37936,35465,22019,10099,231091
SOSR114,49,819,2792,2822,3054,2662,1287,509,201,14190,17,341,1803,1839,1964,1566,569,151,61,8312,3,143,1310,1632,1555,1276,370,114,45,6452,3,68,700,1202,1222,937,233,68,30,4471,0,48,872,1497,1529,1023,265,90,57,5386,20,52,286,597,666,567,268,113,56,2622,1880,1104,2294,2316,2710,2996,3426,3116,2085,21928,13744,11658,24441,26122,29205,31907,29996,18767,8178,194026
SOSR115,82,1260,4140,4113,4580,4305,1976,672,257,21389,18,512,2818,2848,3023,2497,829,200,82,12829,17,241,2128,2436,2656,2022,525,126,42,10192,6,112,1231,1916,2058,1512,314,78,33,7254,4,70,1444,2597,2614,1848,428,111,53,9181,23,50,354,850,1037,810,315,156,75,3670,2664,1569,3325,3535,4009,4659,5074,4144,2769,31758,20085,16834,35972,38766,44847,50519,46275,26147,11444,290897
SOSR121,14,253,953,1132,1347,1222,551,166,48,5688,10,112,617,770,907,797,261,56,15,3540,0,45,461,642,849,608,170,30,20,2830,0,27,277,570,639,483,103,14,11,2117,0,33,297,742,835,560,122,28,4,2613,9,11,94,276,383,273,106,33,16,1202,756,374,752,826,1013,1265,1167,783,337,7274,5717,4275,8442,10602,13224,14709,12074,5664,1934,76622
SOSR122,11,157,499,599,737,704,284,79,16,3097,8,64,361,410,462,380,123,38,10,1863,0,16,240,360,408,344,83,18,7,1487,0,17,129,305,306,246,59,8,4,1070,0,6,163,428,392,330,68,18,6,1406,3,6,49,141,185,142,68,27,8,628,499,202,503,556,712,882,842,506,185,4888,3192,2238,4713,5975,7709,8979,7240,3341,1046,44437
SOSR131,188,1927,5342,6192,8372,7857,3791,931,228,34832,66,821,3623,4502,5822,4985,1925,464,102,22299,21,388,2649,4419,5609,4292,1469,305,90,19251,15,154,1544,3152,4078,3157,950,199,64,13306,15,127,1865,4675,6058,4191,1327,330,70,18650,46,85,652,2515,3930,3122,1325,405,108,12189,5400,2997,5555,6851,9141,9737,8120,3997,1468,53266,35753,25135,46857,63585,86576,90948,67180,26179,7371,449576
SOSR179,0,0,0,3,4,3,0,0,0,10,0,0,3,0,3,3,0,0,0,14,0,0,3,4,0,7,0,0,0,17,0,0,0,3,3,0,0,0,0,3,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,3,4,0,10,17,25,11,4,78,12,9,32,34,50,74,108,42,10,374
SOSR199,3,61,179,89,80,80,34,6,0,533,0,23,95,63,45,31,16,4,0,277,5,9,77,47,37,30,6,3,0,219,0,7,61,25,27,15,4,0,0,136,0,0,64,75,34,15,3,5,0,210,0,0,19,49,20,5,12,0,0,111,110,265,641,427,392,338,220,74,24,2494,517,1358,2703,1900,1798,1722,1196,282,78,11545
