region_id,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOSR101,170896,522529,440149,120461,53987,1308022,39786,1347808
SOSR102,24463,103002,92640,25971,11449,257525,9302,266827
SOSR103,9681,33473,31342,9343,4105,87944,3046,90990
SOSR111,3461,15038,15821,4510,2050,40880,1287,42167
SOSR112,14189,60714,51320,13834,5347,145404,5483,150887
SOSR113,10675,47639,37556,10119,4179,110168,4343,114511
SOSR114,7573,35028,29250,7565,2934,82350,3322,85672
SOSR115,10161,54144,47651,13298,5648,130902,5122,136024
SOSR121,1736,11896,13771,4398,2251,34052,1124,35176
SOSR122,1212,7593,7742,2448,1127,20122,733,20855
SOSR131,4105,42898,73412,33072,21981,175468,4914,180382
SOSR179,0,0,0,0,0,0,0,0
SOSR199,0,0,0,0,0,0,0,0
